ID университета,Название университета,Экономика и управление,Социология и социальная работа,Юриспруденция,Политические науки и регионоведение
110186,"Частное образовательное учреждение высшего образования ""Академия управления и производства""","380,0",N/A,N/A,N/A
1842,"Частное образовательное учреждение высшего образования ""Брянский институт управления и бизнеса""","17,8",N/A,N/A,N/A
1851,"Частное образовательное учреждение высшего образования ""Курский институт менеджмента, экономики и бизнеса""","240,0",N/A,N/A,N/A
1863,"Частное образовательное учреждение высшего образования ""Липецкий эколого-гуманитарный институт""","0,9",N/A,N/A,N/A
1943,"Частное образовательное учреждение высшего образования ""Московский университет им. С.Ю. Витте""","1 780,3",N/A,N/A,N/A
1835,"Частное образовательное учреждение высшего образования ""Православный Свято-Тихоновский гуманитарный университет""","70,0",N/A,N/A,N/A
1918,"Частное образовательное учреждение высшего образования ""Региональный открытый социальный институт""","0,4",N/A,N/A,N/A
1892,"Частное образовательное учреждение высшего образования «Институт управления, бизнеса и технологий» ","70,0",N/A,N/A,N/A
2072,Частное образовательное учреждение высшего образования «Среднерусский гуманитарно-технологический институт»,"14,3",N/A,N/A,N/A
1975,Частное образовательное учреждение высшего образования Тульский институт управления и бизнеса имени Никиты Демидовича Демидова,"32,6",N/A,N/A,N/A
110174,"Частное учреждение высшего образования ""Высшая школа предпринимательства (институт)""","17,2",N/A,N/A,N/A
1868,"Частное учреждение высшего образования ""Московский социально-экономический институт""","32,8",N/A,N/A,N/A
2096,Частное учреждение высшего образования Институт государственного администрирования,"140,4",N/A,N/A,N/A
110266,Частное учреждение образовательная организация высшего образования Институт экономики и культуры,"117,9",N/A,N/A,N/A
14013146,"Борисоглебский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Воронежский государственный университет""","1,6",N/A,N/A,N/A
10000399,"Бронницкий филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Московский автомобильно-дорожный государственный технический университет (МАДИ)""","9,3",N/A,N/A,N/A
10006726,"Брянский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","415,0",N/A,N/A,N/A
10003276,Брянский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,"306,5",N/A,N/A,N/A
12012709,"Владимирский филиал автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","40,6",N/A,N/A,N/A
10006727,"Владимирский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте РФ""","767,0",N/A,N/A,N/A
10006956,"Владимирский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации""","220,0",N/A,N/A,N/A
12013066,Воронежский институт (филиал) Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета,"94,0",N/A,N/A,N/A
10006632,"Воронежский филиал Федерального государственного бюджетного образовательного учреждения высшего образования ""Государственный университет морского и речного флота имени адмирала С.О. Макарова""","47,2",N/A,N/A,N/A
10006729,"Воронежский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","366,8",N/A,N/A,N/A
10003313,Воронежский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,"653,0",N/A,N/A,N/A
12007011,Воскресенский институт туризма - филиал РМАТ,"20,9",N/A,N/A,N/A
10000050,Губкинский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Белгородский государственный технологический университет им. В.Г. Шухова»,"31,2",N/A,N/A,N/A
10006529,"Дмитровский рыбохозяйственный технологический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Астраханский государственный технический университет""","23,6",N/A,N/A,N/A
10006917,"Домодедовский филиал Автономной некоммерческой организации высшего о образования ""Российский новый университет""","17,4",N/A,N/A,N/A
10000481,"Егорьевский технологический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Московский государственный технологический университет ""СТАНКИН""","20,7",N/A,N/A,N/A
10006914,"Елецкий филиал Автономной некоммерческой организации высшего образования ""Российский новый университет""","14,0",N/A,N/A,N/A
12007013,Западно-Подмосковный институт туризма - филиал РМАТ,"68,2",N/A,N/A,N/A
12012829,"Ивановский филиал Образовательного частного учреждения высшего образования ""Международный юридический институт"" (Ивановский филиал)",N/A,N/A,"145,5",N/A
10006733,"Ивановский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","342,9",N/A,N/A,N/A
10003291,Ивановский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,"373,3",N/A,N/A,N/A
12012908,"Ивановский филиал Частного образовательного учреждения высшего образования ""Институт управления""","9,4",N/A,N/A,N/A
12013067,Калужский институт (филиал) Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета,"98,4",N/A,N/A,N/A
10006809,Калужский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»,N/A,N/A,"545,1",N/A
10006738,"Калужский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","977,6",N/A,N/A,N/A
10006940,"Калужский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российский государственный аграрный университет - МСХА имени К.А. Тимирязева","136,3",N/A,N/A,N/A
10006971,"Калужский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации""","399,8",N/A,N/A,N/A
14014176,"Карачевский филиал ФГБОУ ВО ""Орловский государственный университет имени И.С. Тургенева""","11,0",N/A,N/A,N/A
12012913,"Клинский филиал частное учреждение высшего образования ""Институт государственного администрирования""","14,7",N/A,N/A,N/A
14014192,Коломенский институт (филиал) Московского политехнического университета,"42,3",N/A,N/A,N/A
12012830,"Королёвский филиал Образовательного частного учреждения высшего образования ""Международный юридический институт"" (Королёвский филиал)",N/A,N/A,"169,5",N/A
12012732,"Курский институт кооперации (филиал) Автономной некоммерческой организации высшего образования ""Белгородский университет кооперации, экономики и права"" ","162,9",N/A,N/A,N/A
10006960,"Курский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации""","149,7",N/A,N/A,N/A
14014175,"Ливенский филиал ФГБОУ ВО ""Орловский государственный университет имени И.С. Тургенева""","13,3",N/A,N/A,N/A
12012733,"Липецкий институт кооперации (филиал) Автономной некоммерческой организации высшего образования ""Белгородский университет кооперации, экономики и права""","152,2",N/A,N/A,N/A
10000519,"Липецкий казачий институт технологий и управления (филиал) ФГБОУ ВО ""МГУТУ им. К.Г. Разумовского (ПКУ)""","42,8",N/A,N/A,N/A
1809,"Липецкий филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","528,1",N/A,N/A,N/A
10006961,"Липецкий филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации""","505,3",N/A,N/A,N/A
10000526,Московский областной казачий институт технологий и управления (филиал) Московского государственного университета технологий и управления имени К.Г. Разумовского,"46,4",N/A,N/A,N/A
12012802,"Московский областной филиал Аккредитованного образовательного частного учреждения высшего образования ""Московский финансово-юридический университет МФЮА"" ","282,6",N/A,N/A,N/A
12013940,"Московский областной филиал негосударственного образовательного учреждения высшего профессионального образования ""Санкт-Петербургский Гуманитарный университет профсоюзов"" ""Институт искусств и информационных технологий""","9,8",N/A,N/A,N/A
10006741,"Московский областной филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","792,9",N/A,N/A,N/A
10006988,Московский филиал РМАТ,"73,0",N/A,N/A,N/A
10000082,"Муромский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых"" (МИ ВлГУ)","128,5",N/A,N/A,N/A
14014174,"Мценский филиал ФГБОУ ВО ""Орловский государственный университет имени И.С. Тургенева""","15,3",N/A,N/A,N/A
14014199,Мытищинский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)»,"239,0",N/A,N/A,N/A
10000868,"Новомосковский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Российский химико-технологичесий университет имени Д.И.Менделеева""","95,6",N/A,N/A,N/A
10003261,Обнинский институт атомной энергетики - филиал федерального государственного автономного образовательного учреждения высшего образования «Национальный исследовательский ядерный университет «МИФИ»,"208,9",N/A,N/A,N/A
12012832,Одинцовский филиал Образовательного частного учреждения высшего образования «Международный юридический институт» (Одинцовский филиал),N/A,N/A,"202,0",N/A
140114315,Одинцовский филиал Федерального государственного автономного образовательного учреждения высшего образования «Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации»,"712,3",N/A,N/A,N/A
10006963,"Орловский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации""","120,6",N/A,N/A,N/A
14013540,Покровский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Московский педагогический государственный университет»,"22,7",N/A,N/A,N/A
14014194,Рязанский институт (филиал) Московского политехнического университета,"180,1",N/A,N/A,N/A
12012822,"Смоленский институт экономики - филиал частного образовательного учреждения высшего образования ""Санкт-Петербургский университет технологий управления и экономики""","96,4",N/A,N/A,N/A
10000509,"Смоленский казачий институт промышленных технологий и бизнеса (филиал) ФГБОУ ВО ""Московский государственный университет технологий и управления имени К.Г. Разумовского (ПКУ)""","61,9",N/A,N/A,N/A
12012836,"Смоленский филиал Образовательного частного учреждения высшего образования ""Международный юридический институт"" (Смоленский филиал)",N/A,N/A,"215,6",N/A
10001831,"Смоленский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","211,1",N/A,N/A,N/A
10000984,"Смоленский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Саратовская государственная юридическая академия""",N/A,N/A,"256,6",N/A
10002633,Смоленский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,"582,3",N/A,N/A,N/A
10006965,"Смоленский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации"" ","367,3",N/A,N/A,N/A
10001819,"Среднерусский институт управления - филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","817,8",N/A,N/A,N/A
10000172,"Старооскольский технологический институт им. А.А. Угарова (филиал) федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский технологический университет ""МИСиС""","108,3",N/A,N/A,N/A
10000055,"Старооскольский филиал федерального государственного автономного образовательного учреждения высшего образования ""Белгородский государственный национальный исследовательский университет""","218,7",N/A,N/A,N/A
14013142,Старооскольский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский государственный геологоразведочный университет имени Серго Орджоникидзе»,"5,0",N/A,N/A,N/A
12012804,Ступинский филиал Аккредитованного образовательного частного учреждения высшего образования «Московский финансово-юридический университет МФЮА»,"83,2",N/A,N/A,N/A
14013519,"Ступинский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Московский авиационный институт (национальный исследовательский университет)""","51,7",N/A,N/A,N/A
10006916,"Тамбовский филиал Автономной некоммерческой организации высшего образования ""Российский новый университет""","48,7",N/A,N/A,N/A
10006753,"Тамбовский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Мичуринский государственный аграрный университет""","12,8",N/A,N/A,N/A
10001834,"Тамбовский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","127,3",N/A,N/A,N/A
12013075,Тверской институт (филиал) Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета ,"112,8",N/A,N/A,N/A
10001836,"Тверской филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","360,7",N/A,N/A,N/A
10006817,Тульский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»,N/A,N/A,"609,6",N/A
12012837,Тульский филиал Образовательного частного учреждения высшего образования «Международный юридический институт» (Тульский филиал),N/A,N/A,"175,4",N/A
10001839,"Тульский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","154,8",N/A,N/A,N/A
10000819,Тульский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,"300,3",N/A,N/A,N/A
10006966,"Тульский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации"" ","440,3",N/A,N/A,N/A
10000891,"Тутаевский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Рыбинский государственный авиационный технический университет имени П.А. Соловьева""","1,5",N/A,N/A,N/A
12012954,"Филиал ""Котельники"" государственного бюджетного образовательного учреждения высшего образования Московской области ""Университет ""Дубна"" (Филиал ""Котельники"" государственного университета ""Дубна"")","34,3",N/A,N/A,N/A
10000396,"филиал ""Стрела"" федерального государственного бюджетного образовательного учреждения высшего образования ""Московский авиационный институт (национальный исследовательский университет)"" в г. Жуковском Московской области","76,8",N/A,N/A,N/A
12012953,"Филиал ""Угреша"" государственного бюджетного образовательного учреждения высшего образования Московской области ""Университет ""Дубна""","1,8",N/A,N/A,N/A
12012932,"Филиал Автономной некоммерческой образовательной организации высшего образования ""Воронежский экономико-правовой институт"" в г. Россошь","10,4",N/A,N/A,N/A
12012933,"Филиал Автономной некоммерческой образовательной организации высшего образования ""Воронежский экономико-правовой институт"" в г. Старый Оскол","89,5",N/A,N/A,N/A
12012931,"Филиал Автономной некоммерческой образовательной организации высшего образования ""Воронежский экономико-правовой институт"" в г.Липецк","7,6",N/A,N/A,N/A
10110172,"Филиал Автономной некоммерческой образовательной организации высшего образования ""Воронежский экономико-правовой институт"" в г.Орёл","1,5",N/A,N/A,N/A
140143629,"Филиал Автономной некоммерческой организации Высшего Образования ""Институт деловой карьеры"" в Рязанской области","6,1",N/A,N/A,N/A
140143623,"Филиал Автономной некоммерческой организации Высшего Образования ""Институт деловой карьеры"" в Смоленской области",N/A,N/A,"30,3",N/A
12012952,"Филиал государственного бюджетного образовательного учреждения высшего образования Московской области ""Университет ""Дубна"" - Дмитровский институт непрерывного образования","112,3",N/A,N/A,N/A
12012890,"Филиал образовательного учреждения высшего образования «Санкт-Петербургский институт внешнеэкономических связей, экономики и права» в г. Наро-Фоминске Московской области","2,4",N/A,N/A,N/A
10000733,"филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российский государственный гуманитарный университет"" в г. Домодедово Московской области","140,3",N/A,N/A,N/A
10000068,филиал федерального государственного бюджетного образовательного учреждения высшего образования «Брянский государственный университет имени академика И.Г. Петровского» в г. Новозыбкове.,"8,8",N/A,N/A,N/A
10006517,филиал федерального государственного бюджетного образовательного учреждения высшего образования «Национальный исследовательский университет «МЭИ» в г. Смоленске,"3,0",N/A,N/A,N/A
10000769,филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский государственный социальный университет» в г. Клину Московской области,"32,5",N/A,N/A,N/A
10000780,филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский государственный социальный университет» в г. Павловском Посаде Московской области,"17,3",N/A,N/A,N/A
12012793,"Филиал Частного образовательного учреждение высшего образования ""Московский университет им.С.Ю.Витте"" в г. Сергиевом Посаде","54,8",N/A,N/A,N/A
12012790,"Филиал Частного образовательного учреждения высшего образования ""Московский университет им.С.Ю.Витте"" в г. Рязани","215,5",N/A,N/A,N/A
10006953,"Центральный филиал Федерального государственного бюджетного образовательного учреждения высшего образования ""Российский государственный университет правосудия"" (г. Воронеж)",N/A,N/A,"946,3",N/A
14014193,Электростальский институт (филиал) Московского политехнического университета,"24,6",N/A,N/A,N/A
12012808,"Ярославский филиал аккредитованного образовательного частного учреждения высшего профессионального образования ""Московский финансово - юридический университет МФЮА""","248,4",N/A,N/A,N/A
12012922,Ярославский филиал Образовательного учреждения профсоюзов высшего образования «Академия труда и социальных отношений»,"25,3",N/A,N/A,N/A
10006969,"Ярославский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации""","434,0",N/A,N/A,N/A
2064,"Автономная некоммерческая образовательная организации высшего образования ""Калининградский институт управления""","132,5",N/A,N/A,N/A
110536,"Автономная некоммерческая образовательная организация высшего образования ""Европейский университет в Санкт-Петербурге""","19,0",N/A,N/A,N/A
2002,"Автономная некоммерческая образовательная организация высшего образования ""Невский институт языка и культуры""",N/A,N/A,N/A,"27,0"
1824,"Автономная некоммерческая организация высшего образования ""Международный банковский институт имени Анатолия Собчака""","367,2",N/A,N/A,N/A
110344,"Автономная некоммерческая организация высшего образования ""Национальный открытый институт г.Санкт-Петербург""","140,6",N/A,N/A,N/A
1977,"Автономная некоммерческая организация высшего образования ""Санкт-Петербургская юридическая академия""",N/A,N/A,"480,1",N/A
1990,"Автономная некоммерческая организация высшего образования ""Университет при Межпарламентской Ассамблее ЕврАзЭС""","369,3",N/A,N/A,N/A
110180,"Автономное образовательное учреждение высшего образования Ленинградской области ""Государственный институт экономики, финансов, права и технологий""","847,8",N/A,N/A,N/A
110291,"Государственное автономное образовательное учреждение высшего образования Ленинградской области ""Ленинградский государственный университет имени А.С. Пушкина""","413,7",N/A,N/A,N/A
110281,"Государственное образовательное учреждение высшего образования ""Коми республиканская академия государственной службы и управления""","164,1",N/A,N/A,N/A
2065,"Негосударственное образовательное учреждение высшего профессионального образования ""Санкт-Петербургский Гуманитарный университет профсоюзов""","270,5",N/A,N/A,N/A
1891,"Негосударственное частное образовательное учреждение высшего образования ""Северный институт предпринимательства""","2,6",N/A,N/A,N/A
2079,"Образовательное учреждение высшего образования ""Санкт-Петербургский институт внешнеэкономических связей, экономики и права""","2,0",N/A,N/A,N/A
217,"федеральное государственное автономное образовательное учреждение высшего образования ""Балтийский федеральный университет имени Иммануила Канта""","533,9",N/A,N/A,N/A
234,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»,"438,1",N/A,N/A,N/A
243,федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет аэрокосмического приборостроения»,"1 075,4",N/A,N/A,N/A
240,федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»,"4 691,3",N/A,N/A,N/A
1544,Федеральное государственное автономное образовательное учреждение высшего образования «Северный (Арктический) федеральный университет имени М. В. Ломоносова».,"327,0",N/A,N/A,N/A
163,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Мурманский арктический государственный университет""","129,5",N/A,N/A,N/A
1755,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф.Лесгафта, Санкт-Петербург""","85,1",N/A,N/A,N/A
1530,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Псковский государственный университет""","576,6",N/A,N/A,N/A
237,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский горный университет""","497,0",N/A,N/A,N/A
236,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный архитектурно-строительный университет""","950,3",N/A,N/A,N/A
232,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова""","242,5",N/A,N/A,N/A
1564,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А. Бонч-Бруевича""","378,6",N/A,N/A,N/A
1771,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет""","3 039,0",N/A,N/A,N/A
281,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Сыктывкарский государственный университет имени Питирима Сорокина""","153,1",N/A,N/A,N/A
13,Федеральное государственное бюджетное образовательное учреждение высшего образования «Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова»,"454,5",N/A,N/A,N/A
1741,федеральное государственное бюджетное образовательное учреждение высшего образования «Великолукская государственная академия физической культуры и спорта»,"3,8",N/A,N/A,N/A
1660,федеральное государственное бюджетное образовательное учреждение высшего образования «Великолукская государственная сельскохозяйственная академия»,"195,4",N/A,N/A,N/A
