ID университета,Название университета,Экономика и управление,Социология и социальная работа,Юриспруденция,Политические науки и регионоведение
257,федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский государственный технический университет имени Гагарина Ю.А.»,"2 284,9",N/A,N/A,N/A
258,федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского»,"817,4",N/A,N/A,N/A
291,федеральное государственное бюджетное образовательное учреждение высшего образования «Тольяттинский государственный университет»,"880,0",N/A,N/A,N/A
303,федеральное государственное бюджетное образовательное учреждение высшего образования «Удмуртский государственный университет»,"646,6",N/A,N/A,N/A
1643,федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский государственный аграрный университет имени П.А.Столыпина»,"288,0",N/A,N/A,N/A
305,федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский государственный технический университет»,"451,0",N/A,N/A,N/A
306,федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский государственный университет»,"1 066,2",N/A,N/A,N/A
319,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уфимский государственный нефтяной технический университет»,"1 379,1",N/A,N/A,N/A
1689,федеральное государственное бюджетное образовательное учреждение высшего образования «Чувашский государственный аграрный университет»,"269,7",N/A,N/A,N/A
1912,"Частное образовательное учреждение высшего образования ""Вятский социально-экономический институт""","1,7",N/A,N/A,N/A
110204,"Частное образовательное учреждение высшего образования ""Западно-Уральский институт экономики и права""","23,5",N/A,N/A,N/A
1877,"Частное образовательное учреждение высшего образования ""Институт социальных и гуманитарных знаний""","18,5",N/A,N/A,N/A
1901,"Частное образовательное учреждение высшего образования ""Казанский инновационный университет имени В.Г. Тимирясова (ИЭУП)""","797,7",N/A,N/A,N/A
1849,Частное образовательное учреждение высшего образования «Восточная экономико-юридическая гуманитарная академия»,"94,8",N/A,N/A,N/A
110286,Частное образовательное учреждение высшего образования «Кумертауский институт экономики и права»,"8,3",N/A,N/A,N/A
1928,частное образовательное учреждение высшего образования «Тольяттинская академия управления»,"159,3",N/A,N/A,N/A
12013230,"""Институт пищевых технологий и дизайна"" - филиал Государственного бюджетного образовательного учреждения высшего образования ""Нижегородский государственный инженерно-экономический университет""","105,1",N/A,N/A,N/A
10001312,"Алатырский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Чувашский государственный университет имени И.Н.Ульянова""","10,3",N/A,N/A,N/A
12012738,"Альметьевский филиал Учреждения высшего образования ""Университет управления ""ТИСБИ"" ","17,0",N/A,N/A,N/A
10000274,"Альметьевский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технический университет им.А.Н.Туполева-КАИ"" (АФ КНИТУ-КАИ)","52,5",N/A,N/A,N/A
10000574,"Арзамасский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского""","23,9",N/A,N/A,N/A
14013218,Балаковский инженерно-технологический институт - филиал федерального государственного автономного образовательного учреждения высшего образования “Национальный исследовательский ядерный университет “МИФИ“,"58,9",N/A,N/A,N/A
10000981,"Балаковский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Саратовская государственная юридическая академия""",N/A,N/A,"173,8",N/A
10006724,Балаковский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации» ,"128,5",N/A,N/A,N/A
14014268,"Балахнинский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского""","11,6",N/A,N/A,N/A
10006927,Башкирский институт социальных технологий (филиал) Образовательного учреждения профсоюзов высшего образования «Академия труда и социальных отношений»,"4,7",N/A,N/A,N/A
10000511,Башкирский институт технологий и управления (филиал) Московского государственного университета технологий и управления имени К.Г. Разумовского,"58,7",N/A,N/A,N/A
12012718,"Башкирский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","254,3",N/A,N/A,N/A
10000049,"Бирский филиал Федерального государственного бюджетного образовательного учреждения высшего образования "" Башкирский государственный университет""","14,1",N/A,N/A,N/A
10000286,"Бугульминский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технологический университет""","8,0",N/A,N/A,N/A
10000633,"Бузулукский гуманитарно-технологический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Оренбургский государственный университет""","41,8",N/A,N/A,N/A
10000390,"Волго-Вятский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)""",N/A,N/A,"1 039,0",N/A
10000402,"Волжский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Московский автомобильно-дорожный государственный технический университет (МАДИ)""","26,7",N/A,N/A,N/A
10000254,"Воткинский филиал федерального государственнного бюджетного образовательного учреждения высшего образования ""Ижевский государственный технический университет имени М.Т. Калашникова"" ","4,0",N/A,N/A,N/A
10000174,"Выксунский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский технологический университет ""МИСиС""","2,3",N/A,N/A,N/A
10000256,"Глазовский инженерно-экономический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Ижевский государственный технический университет имени М.Т. Калашникова""","9,3",N/A,N/A,N/A
10000576,"Дзержинский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский Нижегородский государственный университет им.Н.И.Лобачевского""","64,1",N/A,N/A,N/A
10006732,"Дзержинский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","265,7",N/A,N/A,N/A
10003428,Димитровградский инженерно-технологический институт - филиал федерального государственного автономного образовательного учреждения высшего образования «Национальный исследовательский ядерный университет «МИФИ»,"73,4",N/A,N/A,N/A
10006527,"Елабужский институт (филиал) федерального государственного автономного образовательного учреждения высшего образования ""Казанский (Приволжский) федеральный университет""","66,1",N/A,N/A,N/A
10000279,"Зеленодольский институт машиностроения и информационных технологий (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технический университет им. А.Н.Туполева-КАИ""","4,7",N/A,N/A,N/A
10006807,Ижевский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»,N/A,N/A,"444,3",N/A
12012708,"Ижевский филиал автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","19,0",N/A,N/A,N/A
10001219,"Инзенский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Ульяновский государственный университет""","21,8",N/A,N/A,N/A
10006810,Казанский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»,N/A,N/A,"721,2",N/A
12012719,"Казанский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","1 840,9",N/A,N/A,N/A
12012918,Казанский филиал Образовательного учреждения профсоюзов высшего образования «Академия труда и социальных отношений» ,"20,0",N/A,N/A,N/A
12012745,Казанский филиал РМАТ,"113,2",N/A,N/A,N/A
10006948,"Казанский филиал Федерального государственного бюджетного образовательного учреждения высшего образования ""Российский государственный университет правосудия""(г. Казань)","24,7",N/A,N/A,N/A
10110322,Кировский институт (филиал) Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета,"89,3",N/A,N/A,N/A
12012801,"Кировский филиал Аккредитованного образовательного частного учреждения высшего образования ""Московский финансово-юридический университет МФЮА""","233,3",N/A,N/A,N/A
10006740,Кировский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»,"50,7",N/A,N/A,N/A
10000636,"Кумертауский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Оренбургский государственный университет""","50,7",N/A,N/A,N/A
10000280,"Лениногорский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технический университет им.А.Н.Туполева-КАИ"" (ЛФ КНИТУ-КАИ)","92,3",N/A,N/A,N/A
10000668,"Лысьвенский филиал федерального государственного автономного образовательного учреждения высшего образования ""Пермский национальный исследовательский политехнический университет""","0,1",N/A,N/A,N/A
10000288,"Набережночелнинский институт (филиал) федерального государственного автономного образовательного учреждения высшего образования ""Казанский (Приволжский) федеральный университет""","632,2",N/A,N/A,N/A
12012739,"Набережночелнинский филиал Учреждения высшего образования ""Университет управления ""ТИСБИ""","115,4",N/A,N/A,N/A
10000281,"Набережночелнинский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ"" (НЧФ КНИТУ-КАИ)","20,3",N/A,N/A,N/A
10006918,"Набережночелнинский филиал частного образовательного учреждения высшего образования ""Казанский инновационный университет имени В.Г.Тимирясова (ИЭУП)""","255,9",N/A,N/A,N/A
10000048,Нефтекамский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Башкирский государственный университет»,"39,0",N/A,N/A,N/A
12013068,Нижегородский институт (филиал) Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета,"61,6",N/A,N/A,N/A
1813,Нижегородский институт управления – филиал РАНХиГС,"1 119,7",N/A,N/A,N/A
10006622,"Нижегородский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский университет ""Высшая школа экономики""","1 565,5",N/A,N/A,N/A
10006919,"Нижнекамский филиал частного образовательного учреждения высшего образования ""Казанский инновационный университет имени В.Г. Тимирясова (ИЭУП)""","68,6",N/A,N/A,N/A
10000284,"Нижнекамский химико-технологический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технологический университет""","17,0",N/A,N/A,N/A
10000173,"Новотроицкий филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский технологический университет ""МИСиС""","9,7",N/A,N/A,N/A
10000389,"Оренбургский институт (филиал) федерального государственного бюджетного образовательного учреждение высшего образования ""Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)"" ",N/A,N/A,"900,1",N/A
10006650,"Оренбургский институт путей сообщения - филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Самарский государственный университет путей сообщения""","6,8",N/A,N/A,N/A
12012919,Оренбургский филиал Образовательного учреждения профсоюзов высшего образования «Академия труда и социальных отношений»,"34,5",N/A,N/A,N/A
1573,"Оренбургский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Поволжский государственный университет телекоммуникаций и информатики""","1,0",N/A,N/A,N/A
10001818,"Оренбургский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","148,1",N/A,N/A,N/A
10000813,Оренбургский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,"351,6",N/A,N/A,N/A
10000631,"Орский гуманитарно-технологический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Оренбургский государственный университет""","90,3",N/A,N/A,N/A
12012803,Орский филиал Аккредитованного образовательного частного учреждения высшего образования «Московский финансово-юридический университет МФЮА»,"65,9",N/A,N/A,N/A
10000578,"Павловский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский Нижегородский государственный университет им.Н.И.Лобачевского""","37,0",N/A,N/A,N/A
10000521,Пензенский казачий институт технологий (филиал) Московского государственного университета технологий и управления имени К.Г. Разумовского,"17,8",N/A,N/A,N/A
10006964,"Пензенский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации""","155,8",N/A,N/A,N/A
10003267,Пермский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,"249,8",N/A,N/A,N/A
10006623,"Пермский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский университет ""Высшая школа экономики""","1 133,2",N/A,N/A,N/A
10001820,"Пермский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","161,5",N/A,N/A,N/A
10006811,Поволжский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» в г. Саратове,N/A,N/A,"161,1",N/A
10001822,Поволжский институт управления - филиал РАНХиГС,"1 794,8",N/A,N/A,N/A
10003337,Поволжский казачий институт управления и пищевых технологий (филиал) Московского государственного университета технологий и управления имени К.Г. Разумовского,"101,1",N/A,N/A,N/A
12012715,"Поволжский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет коопераци","125,9",N/A,N/A,N/A
10006949,"Приволжский филиал Федерального государственного бюджетного образовательного учреждения высшего образования ""Российский государственный университет правосудия"" (г. Нижний Новгород)",N/A,N/A,"782,8",N/A
10002185,"Самарский филиал Государственного автономного образовательного учреждения высшего образования города Москвы ""Московский городской педагогический университет""","52,4",N/A,N/A,N/A
12013938,"Самарский филиал негосударственного образовательного учреждения высшего профессионального образования ""Санкт-Петербургский Гуманитарный университет профсоюзов""","5,1",N/A,N/A,N/A
12012720,"Саранский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","373,6",N/A,N/A,N/A
10000255,"Сарапульский политехнический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Ижевский государственный технический университет имени М.Т.Калашникова""","17,3",N/A,N/A,N/A
10000046,"Сибайский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования "" Башкирский государственный университет""","61,1",N/A,N/A,N/A
10006816,Средне-Волжский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» в г. Саранске,N/A,N/A,"521,4",N/A
10000047,"Стерлитамакский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Башкирский государственный университет""","346,6",N/A,N/A,N/A
10000909,Сызранский филиал федерального государственного автономного образовательного учреждения высшего образования Самарский государственный экономический университет,"43,7",N/A,N/A,N/A
10001841,"Ульяновский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","139,8",N/A,N/A,N/A
10006967,"Уфимский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации""","442,1",N/A,N/A,N/A
140143624,"Филиал Автономной некоммерческой организации Высшего Образования ""Институт деловой карьеры"" в Пермском крае",N/A,N/A,"12,0",N/A
12012939,"Филиал образовательного частного учреждения высшего образования ""Институт международного права и экономики имени А.С. Грибоедова"" в г. Ульяновске (Филиал ИМПЭ им. А.С. Грибоедова в г. Ульяновске)","7,9",N/A,N/A,N/A
10001213,"Филиал ФГБОУ ВО ""Удмуртский государственный университет"" в г. Воткинске","45,6",N/A,N/A,N/A
10001212,"филиал ФГБОУ ВО ""Удмуртский государственный университет"" в г. Можге","2,2",N/A,N/A,N/A
10000831,"Филиал федерального государственного автономного образовательного учреждения высшего образования ""Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина"" в г.Оренбурге","5,2",N/A,N/A,N/A
14014263,"Филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Самарский государственный технический университет"" в г. Белебее Республики Башкортостан","1,7",N/A,N/A,N/A
14013220,"филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Самарский государственный технический университет"" в г. Новокуйбышевске","48,0",N/A,N/A,N/A
10000903,"филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Самарский государственный технический университет"" в г. Сызрань","81,0",N/A,N/A,N/A
14014378,"Филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Самарский государственный университет путей сообщения"" в г. Нижнем Новгороде","3,8",N/A,N/A,N/A
12012796,"Филиал Частного образовательного учреждения высшего образования ""Московский университет им.С.Ю.Витте"" в г. Нижнем Новгороде","105,9",N/A,N/A,N/A
12012795,"Филиал Частного образовательного учреждения высшего образования ""Московский университет им.С.Ю.Витте"" в г. Пензе","98,2",N/A,N/A,N/A
10000257,"Чайковский технологический институт (филиал) ФГБОУ ВО "" Ижевский государственный технический университет имени М.Т. Калашникова""","0,2",N/A,N/A,N/A
12013077,Чебоксарский институт (филиал) Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета,"94,9",N/A,N/A,N/A
14014191,Чебоксарский институт (филиал) Московского политехнического университета,"89,6",N/A,N/A,N/A
12012711,"Чебоксарский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","348,1",N/A,N/A,N/A
10001844,"Чебоксарский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","194,3",N/A,N/A,N/A
10000273,"Чистопольский филиал ""Восток"" федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технический университет им.А.Н.Туполева-КАИ"" (ЧФ КНИТУ-КАИ)","20,9",N/A,N/A,N/A
113588,Автономная некоммерческая образовательная организация высшего образования «Крымский институт бизнеса»,"47,0",N/A,N/A,N/A
5519,"Автономная некоммерческая организация ""Образовательная организация высшего образования"" ""Университет экономики и управления""","298,0",N/A,N/A,N/A
111233,"Автономная некоммерческая организация высшего образования ""Волгоградский гуманитарный институт""","3,3",N/A,N/A,N/A
2008,"Автономная некоммерческая организация высшего образования ""Волгоградский институт бизнеса""","30,7",N/A,N/A,N/A
110155,"государственное автономное образовательное учреждение Астраханской области высшего образования ""Астраханский государственный архитектурно-строительный университет""","137,0",N/A,N/A,N/A
5516,"Государственное бюджетное образовательное учреждение высшего образования Республики Крым ""Крымский инженерно-педагогический университет имени Февзи Якубова""","502,2",N/A,N/A,N/A
110167,"Муниципальное бюджетное образовательное учреждение высшего образования ""Волжский институт экономики, педагогики и права""","235,2",N/A,N/A,N/A
1817,Негосударственное аккредитованное некоммерческое частное образовательное учреждение высшего образования «Академия маркетинга и социально-информационных технологий – ИМСИТ» (г. Краснодар),"602,2",N/A,N/A,N/A
1855,"Негосударственное частное некоммерческое образовательное учреждение высшего образования ""Армавирский гуманитарно-социальный институт""","4,0",N/A,N/A,N/A
2009,"Негосударственное частное образовательное учреждение высшего образования ""Армавирский лингвистический социальный институт""","8,0",N/A,N/A,N/A
110231,"Образовательная автономная некоммерческая организация высшего образования ""Институт мировой экономики и финансов""","47,9",N/A,N/A,N/A
110297,"Образовательное частное учреждение высшего образования ""Международный инновационный университет""","169,6",N/A,N/A,N/A
1934,Образовательное частное учреждение высшего образования «Армавирский социально-психологический институт»,"16,8",N/A,N/A,N/A
337,"Федеральное государственное автономное образовательное учреждение высшего образования ""Южный федеральный университет""","1 377,7",N/A,N/A,N/A
36,федеральное государственное автономное образовательное учреждение высшего образования «Волгоградский государственный университет»,"694,1",N/A,N/A,N/A
113416,федеральное государственное автономное образовательное учреждение высшего образования «Крымский федеральный университет имени В.И.Вернадского»,"1 778,0",N/A,N/A,N/A
113437,федеральное государственное автономное образовательное учреждение высшего образования «Севастопольский государственный университет»,"845,3",N/A,N/A,N/A
9,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Армавирский государственный педагогический университет""","36,1",N/A,N/A,N/A
1563,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Астраханский государственный технический университет""","576,1",N/A,N/A,N/A
34,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Волгоградский государственный социально-педагогический университет""","32,2",N/A,N/A,N/A
108,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Кубанский государственный технологический университет""","1 200,7",N/A,N/A,N/A
228,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ростовский государственный экономический университет (РИНХ)""","3 064,4",N/A,N/A,N/A
1,федеральное государственное бюджетное образовательное учреждение высшего образования «Адыгейский государственный университет»,"364,8",N/A,N/A,N/A
11,федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный университет»,"496,3",N/A,N/A,N/A
1697,федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный аграрный университет»,"453,9",N/A,N/A,N/A
1597,федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный медицинский университет» Министерства здравоохранения Российской Федерации,"97,3",N/A,N/A,N/A
