ID университета,Название университета,Экономика и управление,Социология и социальная работа,Юриспруденция,Политические науки и регионоведение
342,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ярославский государственный университет им. П.Г. Демидова""","821,1",N/A,N/A,N/A
1675,федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный аграрный университет имени В.Я. Горина»,"238,7",N/A,N/A,N/A
1772,федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный аграрный университет»,"57,6",N/A,N/A,N/A
26,федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный университет имени академика И.Г. Петровского»,"724,7",N/A,N/A,N/A
30,федеральное государственное бюджетное образовательное учреждение высшего образования «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых»,"1 113,7",N/A,N/A,N/A
40,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный лесотехнический университет имени Г.Ф. Морозова»,"391,3",N/A,N/A,N/A
44,федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный технический университет»,"857,2",N/A,N/A,N/A
41,федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный университет инженерных технологий»,"686,9",N/A,N/A,N/A
1654,федеральное государственное бюджетное образовательное учреждение высшего образования «Всеросcийский государственный университет юстиции (РПА Минюста России)»,N/A,N/A,"1 237,0",N/A
51,федеральное государственное бюджетное образовательное учреждение высшего образования «Гжельский государственный университет»,"316,4",N/A,N/A,N/A
57,федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный академический университет гуманитарных наук»,"333,3",N/A,N/A,N/A
1798,Федеральное государственное бюджетное образовательное учреждение высшего образования «Дипломатическая академия Министерства иностранных дел Российской Федерации»,"402,3",N/A,N/A,N/A
72,федеральное государственное бюджетное образовательное учреждение высшего образования «Елецкий государственный университет им. И.А. Бунина»,"160,7",N/A,N/A,N/A
2198,федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный политехнический университет»,"217,0",N/A,N/A,N/A
78,федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный энергетический университет имени В.И. Ленина»,"179,4",N/A,N/A,N/A
101,федеральное государственное бюджетное образовательное учреждение высшего образования «Ковровская государственная технологическая академия имени В.А. Дегтярева» ,"121,2",N/A,N/A,N/A
1631,Федеральное государственное бюджетное образовательное учреждение высшего образования «Костромская государственная сельскохозяйственная академия»,"211,7",N/A,N/A,N/A
1786,федеральное государственное бюджетное образовательное учреждение высшего образования «Курский государственный медицинский университет» Министерства здравоохранения Российской Федерации,"47,0",N/A,N/A,N/A
134,федеральное государственное бюджетное образовательное учреждение высшего образования «МИРЭА - Российский технологический университет»,"3 283,5",N/A,N/A,N/A
1736,федеральное государственное бюджетное образовательное учреждение высшего образования «Мичуринский государственный аграрный университет»,"308,3",N/A,N/A,N/A
1788,федеральное государственное бюджетное образовательное учреждение высшего образования «Московская государственная академия ветеринарной медицины и биотехнологии - МВА имени К.И. Скрябина»,"67,8",N/A,N/A,N/A
1694,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный институт культуры»,"12,0",N/A,N/A,N/A
1610,федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный медико-стоматологический университет имени А.И. Евдокимова» Министерства здравоохранения Российской Федерации,"122,0",N/A,N/A,N/A
147,федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный технический университет имени Н.Э.Баумана (национальный исследовательский университет)» ,"574,0",N/A,N/A,N/A
1725,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»,"4 997,8",N/A,N/A,N/A
155,федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет пищевых производств»,"139,0",N/A,N/A,N/A
158,федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет)»,"350,4",N/A,N/A,N/A
